benchmarkable_OGL_call,OGL_calls,frame_time_ms,call_type,prim_type,numElts,numPoints,numLiness,numTriangles,numQuads,FBO,comments,crop_busy(%)(%),gpu_idle(%)(%),shader_busy,zrop_busy(%)(%),gpu_busy,shaded_pixel_count
0,18,0.000000,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,1,IBO=46 |glsl=1 ,0,0,0,0,0,0
1,22,1.162590,glBegin/glEnd ,GL_LINES ,84,0,42,0,0,1,IBO=46 |glsl=13 ,23.919453,67.331604,222702,1.160648,289724,640648
2,3,1.170927,glBegin/glEnd ,GL_LINES ,6,0,3,0,0,1,IBO=46 |glsl=13 ,22.942276,70.316284,163658,0.875365,225865,574776
3,21,1.187984,glDrawElements ,GL_TRIANGLE_STRIP ,49373,0,0,49371,0,1,VBO: 0=1 2=1 IBO=2 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,24.693432,66.295914,197091,2.237528,260778,601883
4,18,1.221391,glDrawElements ,GL_TRIANGLE_STRIP ,63718,0,0,63716,0,1,VBO: 0=1 2=1 IBO=3 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.557812,51.069588,319291,8.314615,390066,759974
5,18,1.245094,glDrawElements ,GL_TRIANGLE_STRIP ,8422,0,0,8420,0,1,VBO: 0=1 2=1 IBO=4 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.592960,52.141132,318825,8.109264,390403,758410
6,18,1.214853,glDrawElements ,GL_TRIANGLE_STRIP ,245154,0,0,245152,0,1,VBO: 0=1 2=1 IBO=5 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,34.805046,40.258728,398377,12.258924,474952,775031
7,18,1.218759,glDrawElements ,GL_TRIANGLE_STRIP ,177,0,0,175,0,1,VBO: 0=1 2=1 IBO=6 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,35.316048,40.696804,397666,11.940448,472835,775164
8,18,1.236707,glDrawElements ,GL_TRIANGLE_STRIP ,69744,0,0,69742,0,1,VBO: 0=1 2=1 IBO=7 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,40.717983,31.341831,477803,14.700762,556553,884887
9,18,1.244478,glDrawElements ,GL_TRIANGLE_STRIP ,21945,0,0,21943,0,1,VBO: 0=1 2=1 IBO=8 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,41.403179,31.592325,480278,14.691434,559700,887839
10,18,1.259395,glDrawElements ,GL_TRIANGLE_STRIP ,23944,0,0,23942,0,1,VBO: 0=1 2=1 IBO=9 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,40.626488,31.342403,486377,15.229162,568230,892439
11,18,1.265450,glDrawElements ,GL_TRIANGLE_STRIP ,10150,0,0,10148,0,1,VBO: 0=1 2=1 IBO=10 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,41.371990,31.036646,492319,15.164006,575275,900435
12,18,1.274511,glDrawElements ,GL_TRIANGLE_STRIP ,302702,0,0,302700,0,1,VBO: 0=1 2=1 IBO=11 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,43.710640,14.615170,628763,21.837873,717642,956972
13,18,1.285206,glDrawElements ,GL_TRIANGLE_STRIP ,89413,0,0,89411,0,1,VBO: 0=1 2=1 IBO=12 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,44.828163,11.779787,658885,23.139927,749206,967967
14,18,1.308209,glDrawElements ,GL_TRIANGLE_STRIP ,42815,0,0,42813,0,1,VBO: 0=1 2=1 IBO=13 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,43.337273,11.831314,672679,23.538410,763412,967533
15,18,1.330356,glDrawElements ,GL_TRIANGLE_STRIP ,14680,0,0,14678,0,1,VBO: 0=1 2=1 IBO=14 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,43.217491,13.031087,677852,22.582081,768269,964793
16,18,1.327266,glDrawElements ,GL_TRIANGLE_STRIP ,2736,0,0,2734,0,1,VBO: 0=1 2=1 IBO=15 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,42.292927,12.641006,680280,23.400978,770219,965253
17,18,1.353843,glDrawElements ,GL_TRIANGLE_STRIP ,105588,0,0,105586,0,1,VBO: 0=1 2=1 IBO=16 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,42.945137,9.138506,723907,24.550123,817658,980819
18,18,1.346238,glDrawElements ,GL_TRIANGLE_STRIP ,5572,0,0,5570,0,1,VBO: 0=1 2=1 IBO=17 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,42.830139,8.488070,726946,25.339985,820509,984496
19,18,1.349004,glDrawElements ,GL_TRIANGLE_STRIP ,87409,0,0,87407,0,1,VBO: 0=1 2=1 IBO=18 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,42.495354,6.655488,745698,24.934381,841912,975759
20,18,1.354759,glDrawElements ,GL_TRIANGLE_STRIP ,9970,0,0,9968,0,1,VBO: 0=1 2=1 IBO=19 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,42.343647,5.944076,755643,25.614639,849800,985649
21,18,1.360547,glDrawElements ,GL_TRIANGLE_STRIP ,1558,0,0,1556,0,1,VBO: 0=1 2=1 IBO=20 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,43.013237,6.299592,756208,24.878359,851788,985676
22,18,1.371716,glDrawElements ,GL_TRIANGLE_STRIP ,66162,0,0,66160,0,1,VBO: 0=1 2=1 IBO=21 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,41.792732,4.831935,774943,26.040918,873528,989984
23,18,1.386799,glDrawElements ,GL_TRIANGLE_STRIP ,16343,0,0,16341,0,1,VBO: 0=1 2=1 IBO=22 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,42.260258,5.237365,782330,25.217403,880625,990394
24,18,1.430908,glDrawElements ,GL_TRIANGLE_STRIP ,228718,0,0,228716,0,1,VBO: 0=1 2=1 IBO=23 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,39.217869,1.717591,823281,25.477005,937531,912814
25,18,1.489926,glDrawElements ,GL_TRIANGLE_STRIP ,78151,0,0,78149,0,1,VBO: 0=1 2=1 IBO=24 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.148716,2.592174,862293,26.634888,977743,873560
26,18,1.493698,glDrawElements ,GL_TRIANGLE_STRIP ,5097,0,0,5095,0,1,VBO: 0=1 2=1 IBO=25 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,36.767677,2.397836,866267,27.753382,982943,880795
27,18,1.498987,glDrawElements ,GL_TRIANGLE_STRIP ,11882,0,0,11880,0,1,VBO: 0=1 2=1 IBO=26 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.038780,2.556921,873312,26.838013,984871,885406
28,18,1.640526,glDrawElements ,GL_TRIANGLE_STRIP ,346227,0,0,346225,0,1,VBO: 0=1 2=1 IBO=27 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.650063,2.559532,971193,26.092386,1085934,857445
29,18,1.639809,glDrawElements ,GL_TRIANGLE_STRIP ,5216,0,0,5214,0,1,VBO: 0=1 2=1 IBO=28 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.682652,2.643506,965213,25.541241,1086816,857470
30,18,1.660065,glDrawElements ,GL_TRIANGLE_STRIP ,21657,0,0,21655,0,1,VBO: 0=1 2=1 IBO=29 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.289864,2.605014,968275,26.584131,1097827,853372
31,18,1.661814,glDrawElements ,GL_TRIANGLE_STRIP ,23515,0,0,23513,0,1,VBO: 0=1 2=1 IBO=30 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.724037,2.537250,985445,26.050587,1104236,857381
32,18,1.668735,glDrawElements ,GL_TRIANGLE_STRIP ,10771,0,0,10769,0,1,VBO: 0=1 2=1 IBO=31 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.554825,2.618124,987189,26.457916,1107244,860083
33,18,1.673474,glDrawElements ,GL_TRIANGLE_STRIP ,9734,0,0,9732,0,1,VBO: 0=1 2=1 IBO=32 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.270470,2.480613,991229,26.288845,1112780,863708
34,18,1.699709,glDrawElements ,GL_TRIANGLE_STRIP ,54501,0,0,54499,0,1,VBO: 0=1 2=1 IBO=33 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.284420,2.521800,998869,26.708273,1130339,871107
35,18,1.715218,glDrawElements ,GL_TRIANGLE_STRIP ,22052,0,0,22050,0,1,VBO: 0=1 2=1 IBO=34 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.543983,2.606017,1013667,26.558270,1141856,872739
36,18,1.732725,glDrawElements ,GL_TRIANGLE_STRIP ,47673,0,0,47671,0,1,VBO: 0=1 2=1 IBO=35 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.886417,2.411074,1034718,27.036264,1156776,871787
37,18,1.746825,glDrawElements ,GL_TRIANGLE_STRIP ,28048,0,0,28046,0,1,VBO: 0=1 2=1 IBO=36 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.861292,2.523968,1043899,26.151867,1166682,872143
38,18,1.749074,glDrawElements ,GL_TRIANGLE_STRIP ,154,0,0,152,0,1,VBO: 0=1 2=1 IBO=37 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.459946,2.580011,1044508,26.749607,1167463,874837
39,18,1.749823,glDrawElements ,GL_TRIANGLE_STRIP ,9764,0,0,9762,0,1,VBO: 0=1 2=1 IBO=38 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.287773,2.356480,1049751,26.703487,1171456,881868
40,18,1.748866,glDrawElements ,GL_TRIANGLE_STRIP ,788,0,0,786,0,1,VBO: 0=1 2=1 IBO=39 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.899054,2.426969,1045903,27.134039,1172405,879734
41,18,1.773710,glDrawElements ,GL_TRIANGLE_STRIP ,22670,0,0,22668,0,1,VBO: 0=1 2=1 IBO=40 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.008976,2.444984,1055730,27.132813,1188150,899639
42,18,1.786253,glDrawElements ,GL_TRIANGLE_STRIP ,42270,0,0,42268,0,1,VBO: 0=1 2=1 IBO=41 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,31.621582,2.382968,1074859,27.786652,1201526,894680
43,18,1.792133,glDrawElements ,GL_TRIANGLE_STRIP ,10838,0,0,10836,0,1,VBO: 0=1 2=1 IBO=42 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.069969,2.324690,1076867,27.184057,1203475,895669
44,18,1.953369,glDrawElements ,GL_TRIANGLE_STRIP ,67638,0,0,67636,0,1,VBO: 0=1 2=1 IBO=43 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,32.967777,2.295759,1194961,30.290455,1321287,1002454
45,18,1.952236,glDrawElements ,GL_TRIANGLE_STRIP ,50,0,0,48,0,1,VBO: 0=1 2=1 IBO=44 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,33.576176,2.221089,1187779,29.401495,1322153,1000813
46,18,2.062617,glDrawElements ,GL_TRIANGLE_STRIP ,5893,0,0,5891,0,1,VBO: 0=1 2=1 IBO=45 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,35.303223,2.200012,1261975,30.343891,1402199,1124046
47,18,2.057961,glDrawElements ,GL_TRIANGLE_STRIP ,29198,0,0,29196,0,1,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,35.611443,2.263881,1262230,28.827641,1397906,1119978
48,3,2.238020,glBlitFramebuffer , ,0,0,0,0,0,2,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.128429,2.332066,1392027,16.852619,1530948,1685604
49,3,2.354197,glBlitFramebuffer , ,0,0,0,0,0,3,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,37.593216,2.623015,1463807,14.477531,1611124,1834387
50,3,2.399122,glBlitFramebuffer , ,0,0,0,0,0,4,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=13 ,36.191509,2.964418,1497717,14.514997,1641732,1875934
51,11,2.415572,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,5,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=4 ,36.504940,2.703317,1509459,14.478434,1656436,1909155
52,10,2.442682,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,4,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=7 ,36.283398,2.760290,1517491,14.105838,1678631,1951237
53,16,3.244580,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,0,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=10 ,27.910313,1.980936,2113349,10.765974,2287286,2512574
54,5,3.452090,glBegin/glEnd ,GL_QUADS ,4,0,0,0,1,0,VBO: 0=1 2=1 IBO=46 |AttrArrays[2]=0:ATTR 2:ATTR |glsl=10|shdVtx=1|shdFrag=2 ,26.613455,1.875533,2245162,9.662976,2439339,2652893
